  skipping invalid sequence (chars=['N'])
Batch 196/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 197/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 198/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 199/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 200/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 201/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 202/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 203/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 204/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 205/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 206/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 207/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 208/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 209/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 210/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 211/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 212/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 213/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 214/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 215/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 216/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 217/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 218/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 219/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 220/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 221/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 222/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 223/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 224/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 225/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 226/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 227/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 228/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 229/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
