Batch 209/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 210/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 211/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 212/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 213/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 214/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 215/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 216/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 217/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 218/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 219/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 220/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 221/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 222/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 223/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 224/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 225/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 226/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 227/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 228/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 229/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 230/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 231/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 232/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
